Team,Player,Tm,Pos,Original Pts,10/22 Season,11/22 Season,12/27 Season,2/7 Season,3/15 Season,4/18 Season,5/26 Season,8/15 Season,12/24 Season,4/2 Season,12/23 Season,4/1 Season,7/3 Season,2/28 Season,8/18 Season,2/28/25 Season,8/4/25 Season,Upcoming Season,ASG
AA,Curt Schilling,ARI,SP,450,420,400,390,380,370,360,350,340,330,320,310,300,290,280,270,260,260,270,6
,Will Clark,STL,1B,400,380,390,370,360,350,340,330,320,310,310,300,290,280,270,270,280,270,260,6
,Mike Mussina (BAL),BAL,SP,450,420,400,390,400,380,370,360,350,340,330,320,310,310,300,290,280,270,260,5
,Jeffrey Hammonds,COL,LFRF,380,380,390,400,380,370,360,360,350,340,330,330,320,310,300,290,280,270,260,1
,Pete Harnisch,CIN,SP,380,350,330,320,310,320,300,300,310,320,310,310,320,310,300,290,280,270,260,1
,Fernando Tatis (MON),MON,3B,370,360,370,350,340,330,340,330,320,310,300,300,290,280,280,290,280,270,260,0
,Chris Stynes (BOS),BOS,"2B,3B",350,320,300,310,290,280,290,300,310,320,330,320,310,300,290,280,280,270,260,0
DET,Magglio Ordonez,CHW,LFRF,420,410,390,400,380,370,360,350,340,330,330,320,310,300,290,280,270,260,260,6
,Mike Piazza,NYM,C,450,420,400,390,380,370,360,350,340,330,320,310,310,300,290,280,270,260,250,12
,Carl Everett,BOS,"CF,LFRF",460,430,410,400,390,380,370,360,350,340,330,320,310,300,290,280,270,260,250,2
DET,Barry Larkin,CIN,SS,320,290,300,280,290,270,280,270,270,280,270,270,280,290,280,270,260,250,250,12
DET,John Smoltz,ATL,SP,440,410,390,380,370,360,350,340,330,320,310,310,300,290,280,270,260,250,250,8
DET,Ken Caminiti,TEX,3B,380,350,330,320,330,310,300,300,290,280,280,290,280,270,260,250,240,240,250,3
NYS,Mike Sweeney,KCR,1B,380,350,360,340,330,320,310,300,290,290,280,270,270,260,250,240,230,230,240,5
,Luis Castillo,FLA,2B,340,310,290,300,310,320,300,290,280,280,290,300,290,280,270,260,250,240,230,3
,Kevin Millwood,ATL,SP,410,380,360,350,340,330,340,330,320,310,300,290,280,270,260,250,240,240,230,1
,J.D. Drew,STL,LFRF,340,310,320,300,310,290,300,310,300,290,280,270,260,260,270,260,250,240,230,1
,Corey Koskie,MIN,3B,280,300,310,290,300,280,270,270,280,290,280,270,270,260,250,250,240,240,230,0
BOS,Rick Helling,TEX,SP,340,320,330,340,350,330,340,330,320,310,300,290,280,270,260,250,240,230,230,0
,Kris Benson,PIT,SP,420,390,370,360,350,340,330,320,320,310,300,290,280,270,260,250,240,230,220,0
,Rick White,NYM,RP,360,330,340,320,310,300,290,290,280,270,260,260,250,240,240,250,240,230,220,0
NY,Arthur Rhodes,SEA,RP,250,260,240,250,260,240,230,230,220,210,200,190,190,180,180,190,200,210,220,1
,David Justice,NYY,LFRF,420,390,370,360,350,340,330,320,310,300,290,280,270,260,250,240,230,220,210,3
,Mike Hampton (COL),COL,SP,390,380,360,350,340,330,320,310,300,290,280,270,270,260,250,240,230,220,210,2
,Geoff Jenkins,MIL,LFRF,380,350,330,320,310,300,290,280,270,270,280,270,260,250,240,230,220,220,210,1
,Robert Person,PHI,SP,290,320,330,340,320,310,300,290,280,270,260,260,250,240,230,230,220,220,210,0
,Carl Pavano,MON,SP,400,370,350,340,330,320,310,300,290,280,280,270,260,250,240,230,220,210,200,1
,Jeff Nelson (SEA),SEA,RP,220,230,210,200,190,200,210,200,190,190,200,210,200,200,210,200,200,210,200,1
,Sidney Ponson,BAL,SP,410,380,360,350,340,330,320,310,300,290,280,270,260,250,240,230,220,210,200,0
,Jose Valentin (SS/OF),CHW,"CF,LFRF,SS",400,380,360,350,340,330,320,310,300,290,280,270,260,250,240,230,220,210,200,0
,Jose Valentin (SS),CHW,SS,390,360,340,330,320,310,300,290,280,270,260,250,240,230,230,220,210,210,200,0
NYS,Jeff Nelson (NYY),NYY,RP,220,210,220,200,210,220,200,200,210,200,200,210,200,200,210,220,210,200,200,1
AA,Scott Schoeneweis,ANA,SP,380,350,330,320,310,320,300,290,280,270,260,250,250,240,230,220,210,200,200,0
,Lance Berkman,HOU,LFRF,400,370,350,340,330,320,310,300,290,280,270,260,250,240,230,220,210,200,190,6
,Larry Walker,COL,LFRF,340,330,340,320,310,300,290,280,270,270,260,250,250,240,230,220,210,200,190,5
,Kenny Rogers,TEX,SP,390,360,340,330,320,310,300,290,280,270,260,250,240,230,220,210,210,200,190,4
,Rafael Palmeiro,TEX,1B,390,360,340,330,320,310,300,290,280,270,260,250,240,230,230,220,210,200,190,4
,Andy Pettitte,NYY,SP,400,370,350,340,330,320,310,300,290,280,270,260,250,240,230,220,210,200,190,3
,Woody Williams,SDP,SP,400,370,350,340,330,320,310,300,290,280,270,260,250,240,230,220,210,200,190,1
,Albie Lopez,TBD,SP,400,370,350,340,330,320,310,300,290,280,270,260,250,240,230,220,210,200,190,0
,Shannon Stewart,TOR,LFRF,370,340,320,310,300,290,280,270,260,260,270,260,250,240,230,220,210,200,190,0
AA,Mike Lieberthal,PHI,C,270,240,250,230,240,250,230,230,220,210,210,220,210,200,200,190,180,180,190,2
,Chuck Finley,CLE,SP,390,360,340,330,320,310,300,290,280,270,260,250,240,230,220,210,200,190,180,5
,Ray Durham,CHW,2B,360,330,310,300,290,280,290,280,270,270,260,250,240,230,220,210,200,190,180,2
,Matt Lawton,MIN,LFRF,300,270,280,290,300,310,290,290,280,270,260,250,240,230,220,210,200,190,180,2
,Phil Nevin,SDP,3B,360,340,320,310,300,290,300,290,280,270,260,250,240,230,220,210,200,190,180,1
,Mike Cameron,SEA,"CF,LFRF",350,320,300,290,280,270,260,250,250,240,230,230,220,220,210,200,190,190,180,1
,Eric Young,CHC,2B,320,290,300,280,270,280,260,260,270,260,250,250,240,230,220,210,200,190,180,1
,Brian Bohanon,COL,SP,390,360,340,330,320,310,300,290,280,270,260,250,240,230,220,210,200,190,180,0
,Mike Sirotka,CHW,SP,390,360,340,330,320,310,300,290,280,270,260,250,240,230,220,210,200,190,180,0
BOS,Travis Fryman,CLE,3B,300,280,260,270,250,260,240,240,250,240,230,220,220,210,200,200,190,180,180,5
BOS,Quilvio Veras,ATL,2B,320,290,270,260,250,260,270,260,250,240,240,230,230,220,210,200,190,180,180,0
BOS,Ugueth Urbina,MON,RP,270,300,280,270,260,250,240,230,230,220,210,200,190,190,180,180,170,170,180,2
,Edgar Renteria,STL,SS,270,250,230,240,250,260,270,280,270,260,250,240,230,220,210,200,190,180,170,5
,Jermaine Dye,KCR,LFRF,370,340,320,310,300,290,280,270,260,250,240,230,220,210,200,200,190,180,170,2
AA,Keith Foulke,CHW,RP,270,290,270,260,250,260,240,230,220,210,200,190,180,180,190,180,180,170,170,1
,Andres Galarraga (TEX),TEX,DH,370,340,320,310,300,290,280,270,260,250,240,230,220,210,200,190,180,170,160,5
,Luis Gonzalez,ARI,LFRF,360,330,310,300,290,280,270,260,250,240,230,220,210,200,190,180,170,170,160,5
,Brady Anderson,BAL,"CF,LFRF",330,300,310,290,280,270,260,250,250,240,230,220,210,200,200,190,180,170,160,3
,Ron Gant (COL),COL,LFRF,370,340,320,310,300,290,280,270,260,250,240,230,220,210,200,190,180,170,160,2
,Freddy Garcia,SEA,SP,330,340,320,310,300,290,280,270,260,250,240,230,220,210,200,190,180,170,160,2
,Juan Guzman,TBD,SP,360,330,310,300,290,280,270,270,260,250,240,230,220,210,200,190,180,170,160,1
,James Baldwin,CHW,SP,350,320,300,290,280,270,280,270,260,250,240,230,220,210,200,190,180,170,160,1
,Brad Ausmus (DET),DET,C,210,240,250,260,240,230,220,220,230,220,210,210,220,210,200,190,180,170,160,1
,Jim Parque,CHW,SP,350,320,330,310,300,290,280,270,260,250,240,230,220,210,200,190,180,170,160,0
,Chris Stynes (CIN),CIN,3B,320,290,270,260,250,260,240,230,220,210,210,220,210,200,190,180,170,170,160,0
,Roger Clemens,NYY,SP,350,320,300,290,280,270,260,250,240,230,220,210,200,200,190,180,170,160,150,11
,Bartolo Colon,CLE,SP,360,330,310,300,290,280,270,260,250,240,230,220,210,200,190,180,170,160,150,4
,Ryan Dempster,FLA,SP,360,330,310,300,290,280,270,260,250,240,230,220,210,200,190,180,170,160,150,2
,Kazuhiro Sasaki,SEA,RP,240,230,240,250,260,240,230,220,210,200,190,180,180,170,160,160,170,160,150,2
